ticker,period,quarter,sales,gross_profit,operating_profit
17950,2026-09-30,1Q,1666000000,,-102000000
17980,2021-03-31,FY,36841000000,,891000000
18080,2024-03-31,FY,1094421000000,,85747000000
18220,2025-03-31,FY,143394000000,,5533000000
18280,2022-03-31,FY,42526000000,,2814000000
18280,2025-03-31,FY,50832000000,,3837000000
18400,2022-10-31,FY,34716000000,,148000000
18480,2022-03-31,2Q,13310000000,,764000000
18500,2024-03-31,FY,43626000000,,1686000000
18610,2021-03-31,FY,450232000000,,28069000000
18610,2022-03-31,1Q,88382000000,,2824000000
18610,2022-03-31,2Q,189555000000,,8708000000
18610,2022-03-31,3Q,300573000000,,15244000000
18610,2022-03-31,FY,425216000000,,22743000000
18610,2023-03-31,1Q,91669000000,,505000000
18610,2023-03-31,2Q,185844000000,,2830000000
18610,2023-03-31,3Q,285577000000,,5753000000
18610,2023-03-31,FY,403502000000,,11483000000
18610,2024-03-31,1Q,90891000000,,410000000
18610,2024-03-31,2Q,196257000000,,3768000000
18610,2024-03-31,3Q,307754000000,,9253000000
18610,2024-03-31,FY,443193000000,,12649000000
18610,2025-03-31,1Q,102676000000,,451000000
18610,2025-03-31,2Q,219492000000,,1239000000
18610,2025-03-31,3Q,330709000000,,1581000000
18610,2025-03-31,FY,498581000000,,14299000000
18610,2026-03-31,1Q,105370000000,,2017000000
18610,2026-03-31,2Q,222514000000,,7375000000
18610,2026-03-31,3Q,351928000000,,17451000000
18780,2024-03-31,3Q,1269830000000,,81272000000
19140,2021-03-31,FY,22854000000,,568000000
19140,2022-03-31,1Q,4797000000,,-46000000
19140,2022-03-31,2Q,10443000000,,153000000
19140,2022-03-31,3Q,16762000000,,561000000
19140,2022-03-31,FY,22111000000,,751000000
19140,2023-03-31,1Q,5561000000,,115000000
19140,2023-03-31,2Q,11363000000,,251000000
19140,2023-03-31,3Q,17587000000,,547000000
19140,2023-03-31,FY,23908000000,,778000000
19140,2024-03-31,1Q,5431000000,,275000000
19140,2024-03-31,2Q,10640000000,,423000000
19140,2024-03-31,3Q,16478000000,,584000000
19140,2024-03-31,FY,23575000000,,1012000000
19140,2025-03-31,1Q,7112000000,,725000000
19140,2025-03-31,2Q,14437000000,,1178000000
19140,2025-03-31,3Q,23037000000,,1651000000
19140,2025-03-31,FY,30279000000,,1891000000
19140,2025-03-31,FY,30279000000,,1891000000
19140,2026-03-31,1Q,6617000000,,385000000
19140,2026-03-31,2Q,13121000000,,802000000
19140,2026-03-31,3Q,20783000000,,1335000000
19250,2021-03-31,FY,4126769000000,,357121000000
19420,2021-03-31,FY,556045000000,,30041000000
19420,2022-03-31,1Q,108077000000,,6967000000
19420,2022-03-31,2Q,220331000000,,13452000000
19420,2022-03-31,3Q,343784000000,,20612000000
19420,2022-03-31,FY,495567000000,,30643000000
19420,2023-03-31,1Q,109018000000,,5852000000
19420,2023-03-31,2Q,233693000000,,13630000000
19420,2023-03-31,3Q,367501000000,,21421000000
19420,2023-03-31,FY,541579000000,,32748000000
19420,2024-03-31,1Q,118782000000,,6767000000
19420,2024-03-31,2Q,261821000000,,15745000000
19420,2024-03-31,3Q,403357000000,,24932000000
19420,2024-03-31,FY,598427000000,,40934000000
19420,2025-03-31,1Q,128864000000,,10353000000
19420,2025-03-31,2Q,286740000000,,25427000000
19420,2025-03-31,3Q,455492000000,,41932000000
19420,2025-03-31,FY,671888000000,,58326000000
19420,2026-03-31,1Q,165567000000,,17476000000
19420,2026-03-31,2Q,340638000000,,37900000000
19420,2026-03-31,3Q,511581000000,,58472000000
19440,2021-03-31,FY,556273000000,,42948000000
19440,2022-03-31,1Q,107357000000,,2787000000
19440,2022-03-31,2Q,244144000000,,11557000000
