ticker,period,quarter,sales,gross_profit,operating_profit
19940,2024-12-31,2Q,4789000000,,337000000
19940,2024-12-31,3Q,6961000000,,457000000
19940,2024-12-31,FY,9383000000,,593000000
19940,2025-12-31,1Q,1839000000,,-57000000
19940,2025-12-31,2Q,3448000000,,-95000000
19940,2025-12-31,3Q,5179000000,,-35000000
19940,2025-12-31,FY,7338000000,,112000000
20010,2022-03-31,FY,321317000000,,11282000000
202A0,2025-03-31,2Q,5266000000,,971000000
21210,2021-03-31,FY,119319000000,,22928000000
21340,2025-03-31,1Q,198000000,,-87000000
21540,2023-06-30,FY,161689000000,,12760000000
21680,2021-05-31,FY,334540000000,,19940000000
21960,2021-03-31,FY,12941000000,,-6401000000
219A0,2025-12-31,1Q,485358000,,-485000000
22080,2023-03-31,2Q,42920000000,,-275000000
22150,2022-12-31,FY,24390000000,,-669000000
22150,2023-12-31,1Q,6265000000,,-59000000
22200,2026-03-31,1Q,33873000000,,1604000000
22220,2021-03-31,FY,23204000000,,-2890000000
22220,2025-03-31,2Q,32906000000,,7476000000
23010,2022-10-31,FY,6773000000,,1621000000
23010,2024-10-31,2Q,4024000000,,615000000
23300,2024-12-31,1Q,989000000,,-28000000
23350,2022-03-31,2Q,8060000000,,746000000
23450,2023-10-31,FY,394000000,,-911000000
23710,2021-03-31,FY,51077000000,,18295000000
23710,2022-03-31,1Q,12021000000,,4012000000
23710,2022-03-31,2Q,23882000000,,8121000000
23710,2022-03-31,3Q,37935000000,,13782000000
23710,2022-03-31,FY,51723000000,,19147000000
23710,2023-03-31,1Q,14015000000,,5374000000
23710,2023-03-31,2Q,28240000000,,10906000000
23710,2023-03-31,3Q,44561000000,,17927000000
23710,2023-03-31,FY,60820000000,,23947000000
23710,2024-03-31,1Q,15362000000,,5171000000
23710,2024-03-31,2Q,31435000000,,11299000000
23710,2024-03-31,3Q,48679000000,,18299000000
23710,2024-03-31,FY,66928000000,,25819000000
23710,2025-03-31,1Q,17713000000,,6977000000
23710,2025-03-31,2Q,36363000000,,14034000000
23710,2025-03-31,3Q,56687000000,,22065000000
23710,2025-03-31,FY,78435000000,,29293000000
23710,2026-03-31,1Q,21958000000,,7318000000
23710,2026-03-31,2Q,44861000000,,13843000000
23710,2026-03-31,3Q,68891000000,,21133000000
23750,2023-10-31,FY,26432000000,,111000000
24040,2023-08-31,FY,6592000000,,-83000000
24040,2024-08-31,FY,7069000000,,69000000
24080,2021-12-20,1Q,500000000,,-27000000
24080,2021-12-20,2Q,1037000000,,-32000000
24080,2021-12-20,3Q,1552000000,,-34000000
24080,2021-12-20,FY,2172000000,,33000000
24080,2022-12-20,1Q,593000000,,56000000
24080,2022-12-20,2Q,1190000000,,97000000
24080,2022-12-20,3Q,1788000000,,143000000
24080,2022-12-20,FY,2488000000,,257000000
24080,2023-12-20,1Q,681000000,,94000000
24080,2023-12-20,2Q,1381000000,,180000000
24080,2023-12-20,3Q,1980000000,,221000000
24080,2023-12-20,FY,2657000000,,368000000
24080,2023-12-20,FY,2657000000,,368000000
24080,2024-12-20,1Q,618000000,,58000000
24080,2024-12-20,2Q,1191000000,,117000000
24080,2024-12-20,3Q,1808000000,,182000000
24080,2024-12-20,FY,2467000000,,304000000
24080,2025-12-20,1Q,649000000,,88000000
24080,2025-12-20,2Q,1313000000,,164000000
24080,2025-12-20,3Q,1995000000,,247000000
24080,2025-12-20,FY,2736000000,,440000000
24280,2025-06-30,2Q,5599000000,,816000000
24290,2022-12-31,2Q,86208000000,,4629000000
